Rooms,Price,Distance,Postcode,Bedroom2,Bathroom,Landsize,Lattitude,Longtitude,Propertycount
2,1480000,2.5,3067,2,1,202,-37.7996,144.9984,4019
2,1035000,2.5,3067,2,1,156,-37.8079,144.9934,4019
3,1465000,2.5,3067,3,2,134,-37.8093,144.9944,4019
3,850000,2.5,3067,3,2,94,-37.7969,144.9969,4019
4,1600000,2.5,3067,3,1,120,-37.8072,144.9941,4019
2,941000,2.5,3067,2,1,181,-37.8041,144.9953,4019
3,1876000,2.5,3067,4,2,245,-37.8024,144.9993,4019
2,1636000,2.5,3067,2,1,256,-37.806,144.9954,4019
1,300000,2.5,3067,1,1,0,-37.8008,144.9973,4019
2,1097000,2.5,3067,3,1,220,-37.801,144.9989,4019
2,700000,2.5,3067,2,2,0,-37.811,145.0067,4019
3,1350000,2.5,3067,3,2,214,-37.8085,144.9964,4019
2,750000,2.5,3067,2,2,0,-37.8078,144.9965,4019
2,1172500,2.5,3067,2,1,195,-37.8084,144.9973,4019
1,441000,2.5,3067,1,1,0,-37.8016,144.9988,4019
2,1310000,2.5,3067,2,1,238,-37.809,144.9976,4019
3,1200000,2.5,3067,3,2,113,-37.8056,144.993,4019
3,1176500,2.5,3067,2,1,138,-37.8021,144.9965,4019
3,955000,2.5,3067,3,1,183,-37.8022,144.9975,4019
2,890000,2.5,3067,2,1,150,-37.8011,145.0004,4019
4,1330000,2.5,3067,4,2,780,-37.8073,144.9952,4019
3,900000,2.5,3067,3,2,0,-37.8093,144.9959,4019
3,1090000,2.5,3067,3,2,4290,-37.8078,144.9965,4019
2,500000,2.5,3067,2,1,0,-37.8015,144.9972,4019
2,1100000,2.5,3067,2,2,124,-37.8079,144.9977,4019
2,1315000,2.5,3067,2,1,147,-37.808,144.994,4019
1,426000,2.5,3067,1,1,0,-37.8016,144.9988,4019
3,1447500,2.5,3067,3,3,166,-37.8017,145.0001,4019
1,457000,2.5,3067,1,1,0,-37.8078,144.9965,4019
2,1135000,2.5,3067,2,2,98,-37.8005,144.9952,4019
4,1542000,2.5,3067,4,3,0,-37.7994,144.9965,4019
3,1290000,2.5,3067,3,2,147,-37.805,144.9943,4019
3,1290000,2.5,3067,3,1,168,-37.8007,144.9958,4019
1,470000,2.5,3067,1,1,0,-37.8055,144.9961,4019
2,1180000,2.5,3067,2,1,162,-37.8016,144.9956,4019
3,1195000,2.5,3067,3,2,120,-37.8022,144.9954,4019
2,1012500,2.5,3067,2,1,182,-37.8021,144.9976,4019
2,1030000,2.5,3067,2,1,172,-37.8086,144.9946,4019
3,840000,13.5,3042,3,2,303,-37.718,144.878,3464
3,730000,13.5,3042,3,2,0,-37.7203,144.8755,3464
3,770000,13.5,3042,3,2,0,-37.7203,144.8755,3464
2,603000,13.5,3042,2,1,272,-37.7294,144.888,3464
3,700000,13.5,3042,3,2,239,-37.7218,144.8837,3464
3,600000,13.5,3042,2,1,290,-37.7273,144.8744,3464
2,500000,13.5,3042,2,1,168,-37.7215,144.8864,3464
3,720000,13.5,3042,2,1,620,-37.7173,144.8872,3464
4,785000,13.5,3042,3,1,597,-37.7259,144.8792,3464
6,725000,13.5,3042,6,3,976,-37.7239,144.8735,3464
2,450000,13.5,3042,2,1,110,-37.7216,144.871,3464
2,515000,13.5,3042,2,1,141,-37.7298,144.8883,3464
2,530000,13.5,3042,2,1,120,-37.7234,144.8792,3464
3,895000,13.5,3042,3,1,1063,-37.7249,144.8728,3464
3,805000,13.5,3042,3,1,0,-37.7217,144.8783,3464
3,752000,13.5,3042,3,1,265,-37.7302,144.8855,3464
2,440000,13.5,3042,2,1,192,-37.7177,144.8787,3464
5,755000,13.5,3042,3,2,596,-37.7248,144.8699,3464
3,700000,13.5,3042,3,2,165,-37.727,144.887,3464
3,830000,13.5,3042,3,1,971,-37.7186,144.876,3464
2,462500,13.5,3042,2,1,164,-37.7218,144.8863,3464
3,670000,13.5,3042,3,2,657,-37.7269,144.8742,3464
2,675000,13.5,3042,2,1,612,-37.7187,144.8765,3464
3,1042000,13.5,3042,3,2,612,-37.7173,144.8796,3464
3,910000,13.5,3042,3,1,775,-37.7231,144.8835,3464
4,773000,13.5,3042,5,3,531,-37.7263,144.8679,3464
3,810000,13.5,3042,3,3,555,-37.7285,144.8694,3464
3,715000,13.5,3042,3,2,422,-37.7164,144.8792,3464
3,790000,13.5,3042,3,1,614,-37.7194,144.8827,3464
3,540000,13.5,3042,2,2,161,-37.7231,144.8802,3464
3,825000,13.5,3042,3,2,293,-37.72,144.8776,3464
3,685000,13.5,3042,3,1,579,-37.7226,144.8733,3464
3,805000,13.5,3042,3,1,623,-37.7184,144.882,3464
2,510000,13.5,3042,2,1,141,-37.7202,144.8797,3464
3,612000,13.5,3042,3,2,212,-37.7181,144.8824,3464
3,662000,13.5,3042,3,1,612,-37.7169,144.8815,3464
4,978000,13.5,3042,4,3,532,-37.7263,144.869,3464
3,720000,13.5,3042,3,1,585,-37.72,144.878,3464
4,765000,13.5,3042,4,1,509,-37.7261,144.8785,3464
4,900000,13.5,3042,4,2,628,-37.7256,144.8739,3464
2,1275000,3.3,3206,2,1,120,-37.8459,144.9555,3280
2,1455000,3.3,3206,2,1,159,-37.845,144.9538,3280
3,2850000,3.3,3206,3,2,211,-37.8481,144.9499,3280
3,1850000,3.3,3206,3,2,128,-37.8452,144.9488,3280
2,1436000,3.3,3206,2,1,130,-37.8431,144.9565,3280
2,1110000,3.3,3206,1,1,147,-37.8444,144.9484,3280
2,1550000,3.3,3206,2,1,167,-37.8405,144.9521,3280
4,2300000,3.3,3206,4,2,153,-37.8447,144.9523,3280
3,1550000,3.3,3206,3,2,718,-37.8443,144.9598,3280
3,1800000,3.3,3206,3,2,132,-37.8415,144.952,3280
2,2120000,3.3,3206,2,1,199,-37.8422,144.9554,3280
3,1800000,3.3,3206,3,1,253,-37.8443,144.9579,3280
3,1800000,3.3,3206,3,2,90,-37.8421,144.9571,3280
2,1810000,3.3,3206,2,1,240,-37.8379,144.9539,3280
3,2615000,3.3,3206,3,2,177,-37.8415,144.9585,3280
5,2100000,3.3,3206,5,2,237,-37.8436,144.9557,3280
3,1300000,3.3,3206,3,1,129,-37.8422,144.949,3280
3,1370000,3.3,3206,3,2,0,-37.8451,144.9511,3280
2,1000000,3.3,3206,2,1,288,-37.8407,144.9523,3280
3,2575000,3.3,3206,3,2,228,-37.8445,144.9501,3280
2,1322500,3.3,3206,2,1,149,-37.8443,144.9481,3280
2,1562500,3.3,3206,2,1,141,-37.8424,144.9562,3280
3,2000000,3.3,3206,3,2,211,-37.847,144.9575,3280
3,1900000,3.3,3206,3,1,209,-37.8468,144.9546,3280
3,3010000,3.3,3206,3,2,147,-37.8473,144.9551,3280
4,2800000,3.3,3206,4,3,327,-37.8467,144.9475,3280
2,647000,3.3,3206,2,1,0,-37.846,144.9542,3280
3,2100000,3.3,3206,2,1,120,-37.8427,144.9546,3280
3,2000000,3.3,3206,3,1,238,-37.8461,144.9528,3280
1,442500,3.3,3206,1,1,0,-37.8421,144.9517,3280
4,4735000,3.3,3206,4,2,330,-37.8477,144.9558,3280
2,1340000,3.3,3206,2,1,136,-37.846,144.9517,3280
3,1801000,3.3,3206,3,1,202,-37.8429,144.9493,3280
3,1532000,3.3,3206,3,3,0,-37.8415,144.9585,3280
3,3755000,3.3,3206,3,2,325,-37.8413,144.95,3280
4,2140000,3.3,3206,3,2,183,-37.8434,144.9495,3280
2,1750000,3.3,3206,2,1,162,-37.8416,144.9488,3280
2,980000,3.3,3206,2,1,79,-37.8387,144.9519,3280
3,2030000,3.3,3206,3,2,152,-37.8488,144.9551,3280
3,1740000,3.3,3206,3,2,147,-37.8448,144.9453,3280
3,2800000,3.3,3206,3,3,0,-37.8399,144.9577,3280
1,985000,3.3,3206,1,1,81,-37.8411,144.9497,3280
4,2000000,6.4,3078,3,2,853,-37.7707,145.0318,2211
3,1110000,6.4,3078,3,2,208,-37.7854,145.0325,2211
3,1492000,6.4,3078,3,2,411,-37.7713,145.0279,2211
4,1717500,6.4,3078,4,2,599,-37.7717,145.031,2211
5,2840000,6.4,3078,5,4,809,-37.775,145.0268,2211
2,525500,6.4,3078,2,1,88,-37.7791,145.0306,2211
2,805000,6.4,3078,2,2,155,-37.7804,145.0308,2211
2,465000,6.4,3078,2,1,0,-37.7773,145.0314,2211
3,2000000,6.4,3078,3,3,686,-37.78,145.0341,2211
3,1540000,6.4,3078,3,1,592,-37.7755,145.0288,2211
2,820000,6.4,3078,2,1,183,-37.7747,145.0264,2211
4,1830000,6.4,3078,4,2,606,-37.7743,145.0316,2211
4,2100000,6.4,3078,4,2,575,-37.7723,145.0319,2211
3,865000,6.4,3078,3,1,180,-37.7802,145.0243,2211
2,390000,6.4,3078,2,1,0,-37.7773,145.0314,2211
2,650000,6.4,3078,0,1,0,-37.7848,145.025,2211
2,512000,6.4,3078,2,1,0,-37.7805,145.0262,2211
3,1165000,6.4,3078,3,1,979,-37.7792,145.029,2211
4,1900000,6.4,3078,4,2,556,-37.7844,145.0225,2211
3,1485000,6.4,3078,3,0,597,-37.7781,145.0284,2211
4,1950000,6.4,3078,4,2,589,-37.7719,145.0309,2211
3,520000,13.8,3018,3,2,352,-37.87,144.825,5301
5,1525000,13.8,3018,5,3,729,-37.8721,144.8105,5301
2,720000,13.8,3018,2,1,292,-37.8687,144.8197,5301
3,1120000,13.8,3018,3,1,506,-37.8693,144.8375,5301
4,780000,13.8,3018,4,1,655,-37.868,144.8154,5301
4,1780000,13.8,3018,4,3,1057,-37.8681,144.819,5301
