median_income,median_house_value
8.3252,452600
8.3014,358500
7.2574,352100
5.6431,341300
3.8462,342200
4.0368,269700
3.6591,299200
3.12,241400
2.0804,226700
3.6912,261100
3.2031,281500
3.2705,241800
3.075,213500
2.6736,191300
1.9167,159200
2.125,140000
2.775,152500
2.1202,155500
1.9911,158700
2.6033,162900
1.3578,147500
1.7135,159800
1.725,113900
2.1806,99700
2.6,132600
2.4038,107500
2.4597,93800
1.808,105500
1.6424,108900
1.6875,132000
1.9274,122300
1.9615,115200
1.7969,110400
1.375,104900
2.7303,109700
1.4861,97200
1.0972,104500
1.4103,103900
3.48,191400
2.5898,176000
2.0978,155400
1.2852,150000
1.025,118800
3.9643,188800
3.0125,184400
2.6768,182300
2.026,142500
1.7348,137500
0.9506,187500
1.775,112500
0.9218,171900
1.5045,93800
1.1108,97500
1.2475,104200
1.6098,87500
1.4113,83100
1.5057,87500
0.8172,85300
1.2171,80300
2.5625,60000
3.3929,75700
6.1183,75000
0.9011,86100
1.191,76100
2.5938,73500
1.1667,78400
0.8056,84400
2.6094,81300
1.8516,85000
0.9802,129200
1.7719,82500
0.7286,95200
1.75,75000
0.4999,67500
2.483,137500
0.9241,177500
1.1111,108300
0.8026,112500
2.0114,131300
1.5,162500
1.1667,112500
1.5208,112500
0.8075,137500
1.8088,118800
2.4083,98200
0.977,118800
0.76,162500
0.9722,137500
1.2434,500001
2.0938,162500
0.8668,137500
0.75,162500
2.6354,187500
1.8477,179200
2.0096,130000
2.8345,183800
2.0062,125000
